Year,Code,country,adults(15-49)_prev(%),women_18_24_Prev(%),men_18_24_prev(%),total_deaths,total_children_deaths,total_adults_deaths,children_with_hiv,women_with_hiv,adults_with_hiv(15+),total_hiv_pop,adults_incidence_1000_uninfectedpop,total_incidence_1000_uninfectedpop,preg_women_antiretrovirals,newly_infected_children,newly_infected_adults,total_newly_infected
1990,ETH,Ethiopia,2.2,2.3,0.7,20000,8700,11000,40000,250000,430000,470000,6.3,3.4,29000,20000,120000,140000
1991,ETH,Ethiopia,2.6,2.7,0.8,26000,11000,15000,52000,320000,540000,590000,6.5,3.6,37000,24000,130000,150000
1992,ETH,Ethiopia,3.0,3.0,0.8,33000,13000,20000,64000,380000,630000,700000,6.0,3.4,44000,26000,120000,150000
1993,ETH,Ethiopia,3.3,3.1,0.8,40000,14000,26000,76000,430000,710000,790000,5.3,3.1,50000,28000,110000,140000
1994,ETH,Ethiopia,3.4,3.1,0.8,47000,15000,31000,88000,460000,760000,850000,4.3,2.7,55000,29000,91000,120000
1995,ETH,Ethiopia,3.4,3.0,0.8,53000,16000,37000,99000,490000,800000,900000,3.6,2.3,58000,29000,77000,110000
1996,ETH,Ethiopia,3.4,2.8,0.7,60000,17000,43000,110000,500000,810000,920000,2.9,1.9,59000,29000,65000,93000
1997,ETH,Ethiopia,3.3,2.5,0.6,65000,17000,48000,120000,500000,820000,930000,2.4,1.7,59000,28000,56000,84000
1998,ETH,Ethiopia,3.1,2.2,0.5,70000,17000,53000,130000,500000,810000,930000,2.1,1.5,57000,27000,49000,76000
1999,ETH,Ethiopia,2.9,1.9,0.4,73000,17000,56000,130000,490000,790000,920000,1.8,1.3,55000,26000,44000,69000
2000,ETH,Ethiopia,2.7,1.6,0.4,75000,16000,59000,140000,480000,760000,900000,1.5,1.1,44000,21000,39000,59000
2001,ETH,Ethiopia,2.6,1.4,0.3,76000,15000,61000,140000,460000,730000,870000,1.3,0.96,42000,19000,35000,54000
2002,ETH,Ethiopia,2.4,1.2,0.3,76000,14000,62000,140000,440000,700000,840000,1.2,0.86,39000,18000,32000,50000
2003,ETH,Ethiopia,2.2,1.1,0.3,75000,13000,62000,140000,420000,670000,800000,1.0,0.76,36000,16000,29000,46000
2004,ETH,Ethiopia,2.0,1.0,0.3,73000,13000,60000,130000,400000,630000,770000,0.88,0.66,33000,15000,26000,41000
2005,ETH,Ethiopia,1.8,0.9,0.3,68000,12000,56000,130000,390000,600000,730000,0.79,0.59,30000,14000,24000,38000
2006,ETH,Ethiopia,1.7,0.8,0.3,60000,11000,48000,120000,370000,580000,700000,0.7,0.53,28000,12000,22000,34000
2007,ETH,Ethiopia,1.6,0.8,0.3,49000,11000,38000,120000,360000,570000,680000,0.64,0.48,27000,11000,21000,32000
2008,ETH,Ethiopia,1.5,0.7,0.3,39000,9700,30000,110000,360000,560000,670000,0.59,0.43,26000,9800,20000,30000
2009,ETH,Ethiopia,1.4,0.7,0.4,32000,8700,23000,100000,360000,560000,660000,0.52,0.38,25000,9300,18000,27000
2010,ETH,Ethiopia,1.4,0.7,0.4,27000,7700,19000,93000,360000,570000,660000,0.47,0.35,25000,8500,17000,26000
2011,ETH,Ethiopia,1.3,0.7,0.4,22000,6700,16000,86000,360000,570000,660000,0.42,0.31,24000,7300,16000,23000
2012,ETH,Ethiopia,1.3,0.7,0.4,19000,5500,14000,78000,370000,580000,660000,0.38,0.27,24000,5600,15000,21000
2013,ETH,Ethiopia,1.2,0.6,0.4,17000,4300,13000,71000,370000,580000,650000,0.33,0.23,23000,4800,14000,18000
2014,ETH,Ethiopia,1.2,0.6,0.4,17000,3700,13000,66000,370000,580000,650000,0.29,0.2,23000,4600,12000,17000
2015,ETH,Ethiopia,1.1,0.6,0.4,16000,3200,13000,61000,370000,580000,640000,0.24,0.17,22000,4000,10000,14000
2016,ETH,Ethiopia,1.1,0.6,0.4,16000,2900,13000,56000,370000,580000,640000,0.25,0.17,21000,4200,11000,15000
2017,ETH,Ethiopia,1.0,0.5,0.3,15000,2900,12000,53000,370000,580000,640000,0.22,0.16,20000,4200,10000,15000
